team_id,league_id,season_id,team_name,Comp,# Pl,90s,team_total_passes_Cmp,team_total_passes_Att,team_total_passes_Cmp%_new,team_total_passes_TotDist,team_total_passes_PrgDist,team_short_passes_Cmp,team_short_passes_Att,team_short_passes_Cmp%_new,team_medium_passes_Cmp,team_medium_passes_Att,team_medium_passes_Cmp%_new,team_long_passes_Cmp,team_long_passes_Att,team_long_passes_Cmp%_new,team_Ast,team_passes_KP,team_passes_PPA,team_passes_into_finalthird,team_passes_CrsPA,team_passes_PrgP
BL_ARM_1,BL_1,1,Arminia,Bundesliga,26,34,10582,14604,0.72459600109559,214163,88686,3914,4823,0.811528094546962,4806,5879,0.817485967001191,1610,3097,0.519857927026154,16,229,172,795,50,880
BL_ARM_1,BL_1,2,Arminia,Bundesliga,26,34,9382,13511,0.694397157871364,182069,82699,3765,4741,0.794136258173381,4031,5156,0.781807602792863,1305,2712,0.481194690265487,18,247,195,763,55,887
BL_AUG_2,BL_1,1,Augsburg,Bundesliga,25,34,10257,14168,0.723955392433653,193960,77974,4167,5063,0.823029824214892,4515,5469,0.825562260010971,1322,2716,0.486745213549337,23,245,182,691,56,987
BL_AUG_2,BL_1,2,Augsburg,Bundesliga,26,34,9181,13035,0.70433448408132,181255,75935,3586,4449,0.806023825578782,3892,4935,0.788652482269504,1455,2827,0.514679872656526,26,264,218,657,85,895
BL_AUG_2,BL_1,3,Augsburg,Bundesliga,34,34,8422,12742,0.660963741955737,169408,75215,3104,4032,0.76984126984127,3844,5050,0.761188118811881,1253,2819,0.444483859524654,29,240,191,662,44,847
BL_AUG_2,BL_1,4,Augsburg,Bundesliga,29,34,10545,14262,0.739377366428271,199672,80511,4147,4989,0.831228703146923,4851,5902,0.821924771263978,1272,2491,0.51063829787234,35,299,284,919,89,1137
BL_AUG_2,BL_1,5,Augsburg,Bundesliga,29,34,11577,14936,0.775107123727906,213228,82617,4900,5714,0.857542877143857,5187,6033,0.859771258080557,1267,2377,0.533024821203197,26,296,248,905,77,1162
BL_BAY_3,BL_1,1,Bayern Munich,Bundesliga,29,34,18358,22039,0.832977902808657,327421,111389,7794,8735,0.892272467086434,7997,9011,0.887470868937965,1993,3021,0.659715326050976,75,461,464,1578,113,2084
BL_BAY_3,BL_1,2,Bayern Munich,Bundesliga,30,34,20087,23780,0.844701429772918,342875,124219,9343,10393,0.898970460887136,8473,9518,0.890208026896407,1747,2675,0.653084112149533,70,516,500,1677,71,2164
BL_BAY_3,BL_1,3,Bayern Munich,Bundesliga,28,34,19404,22716,0.854199683042789,335478,115394,8781,9678,0.907315561066336,8580,9490,0.904109589041096,1653,2553,0.647473560517039,67,488,474,1561,70,2041
BL_BAY_3,BL_1,4,Bayern Munich,Bundesliga,30,34,19987,22946,0.87104506232023,340799,109694,9254,10094,0.916782246879334,8928,9742,0.91644426195853,1476,2208,0.668478260869565,71,506,458,1563,86,1941
BL_BAY_3,BL_1,5,Bayern Munich,Bundesliga,29,34,22755,25733,0.884273112346015,376161,117553,11338,12153,0.932938369126964,9489,10320,0.919476744186046,1548,2329,0.664662945470159,66,511,464,2131,67,2138
BL_BOC_20,BL_1,2,Bochum,Bundesliga,28,34,9624,13679,0.703560201769135,200296,84521,3445,4288,0.803404850746269,4176,5235,0.797707736389685,1764,3334,0.529094181163767,22,276,179,761,66,926
BL_BOC_20,BL_1,3,Bochum,Bundesliga,26,34,9209,13549,0.67968115728098,185905,86106,3742,4704,0.795493197278912,3734,4954,0.753734356075898,1534,3145,0.487758346581876,28,289,225,856,73,1022
BL_BOC_20,BL_1,4,Bochum,Bundesliga,25,34,9786,14203,0.689009364218827,185281,85808,4234,5278,0.802197802197802,3854,5032,0.765898251192369,1393,2934,0.474778459441036,30,371,265,902,85,1151
BL_BOC_20,BL_1,5,Bochum,Bundesliga,27,34,10281,14230,0.722487702037948,202499,85811,3889,4696,0.828151618398637,4761,5852,0.813568010936432,1433,2841,0.504399859204506,23,308,235,865,76,1090
