team_id,league_id,season_id,team_name,Comp,# Pl,90s,team_shooting_Gls,team_shooting_Sh,team_shooting_SoT,team_shooting_G/Sh_new,team_shooting_G/SoT_new,team_shooting_Sh/90_new,team_shooting_SoT/90_new,team_shooting_SoT%_new,team_shooting_FK,team_shooting_PK,team_shooting_PKatt
BL_ARM_1,BL_1,1,Arminia,Bundesliga,26,34,23,331,100,0.07,0.23,9.74,2.94,0.302114803625378,14,1,2
BL_ARM_1,BL_1,2,Arminia,Bundesliga,26,34,26,361,109,0.07,0.24,10.62,3.21,0.301939058171745,10,2,2
BL_AUG_2,BL_1,1,Augsburg,Bundesliga,25,34,35,332,108,0.11,0.32,9.76,3.18,0.325301204819277,10,2,5
BL_AUG_2,BL_1,2,Augsburg,Bundesliga,26,34,39,362,117,0.11,0.33,10.65,3.44,0.323204419889503,11,5,5
BL_AUG_2,BL_1,3,Augsburg,Bundesliga,34,34,41,354,101,0.12,0.41,10.41,2.97,0.285310734463277,14,4,5
BL_AUG_2,BL_1,4,Augsburg,Bundesliga,29,34,49,429,123,0.11,0.4,12.62,3.62,0.286713286713287,12,5,7
BL_AUG_2,BL_1,5,Augsburg,Bundesliga,29,34,35,397,114,0.09,0.31,11.68,3.35,0.287153652392947,10,1,2
BL_BAY_3,BL_1,1,Bayern Munich,Bundesliga,29,34,98,572,219,0.17,0.45,16.82,6.44,0.382867132867133,9,9,10
BL_BAY_3,BL_1,2,Bayern Munich,Bundesliga,30,34,92,668,255,0.14,0.36,19.65,7.5,0.381736526946108,12,5,5
BL_BAY_3,BL_1,3,Bayern Munich,Bundesliga,28,34,90,625,251,0.14,0.36,18.38,7.38,0.4016,10,3,5
BL_BAY_3,BL_1,4,Bayern Munich,Bundesliga,30,34,93,633,229,0.15,0.41,18.62,6.74,0.361769352290679,13,5,5
BL_BAY_3,BL_1,5,Bayern Munich,Bundesliga,29,34,96,636,255,0.15,0.38,18.71,7.5,0.400943396226415,19,9,10
BL_BOC_20,BL_1,2,Bochum,Bundesliga,28,34,37,409,136,0.09,0.27,12.03,4,0.332518337408313,17,4,6
BL_BOC_20,BL_1,3,Bochum,Bundesliga,26,34,37,397,127,0.09,0.29,11.68,3.74,0.319899244332494,11,3,3
BL_BOC_20,BL_1,4,Bochum,Bundesliga,25,34,41,524,145,0.08,0.28,15.41,4.26,0.276717557251908,18,4,4
BL_BOC_20,BL_1,5,Bochum,Bundesliga,27,34,32,433,133,0.07,0.24,12.74,3.91,0.30715935334873,11,1,3
BL_BRE_18,BL_1,1,Werder Bremen,Bundesliga,27,34,35,356,120,0.1,0.29,10.47,3.53,0.337078651685393,14,5,5
BL_BRE_18,BL_1,3,Werder Bremen,Bundesliga,25,34,50,363,136,0.14,0.37,10.68,4,0.37465564738292,18,5,6
BL_BRE_18,BL_1,4,Werder Bremen,Bundesliga,30,34,45,407,125,0.11,0.36,11.97,3.68,0.307125307125307,14,5,6
BL_BRE_18,BL_1,5,Werder Bremen,Bundesliga,23,34,53,424,138,0.12,0.38,12.47,4.06,0.325471698113208,12,3,5
BL_BVB_4,BL_1,1,Dortmund,Bundesliga,26,34,74,488,184,0.15,0.4,14.35,5.41,0.377049180327869,14,3,7
BL_BVB_4,BL_1,2,Dortmund,Bundesliga,33,34,81,442,165,0.18,0.49,13,4.85,0.373303167420814,20,11,11
BL_BVB_4,BL_1,3,Dortmund,Bundesliga,30,34,81,558,219,0.15,0.37,16.41,6.44,0.39247311827957,20,4,6
BL_BVB_4,BL_1,4,Dortmund,Bundesliga,32,34,68,506,184,0.13,0.37,14.88,5.41,0.363636363636364,17,6,6
BL_BVB_4,BL_1,5,Dortmund,Bundesliga,28,34,69,478,157,0.14,0.44,14.06,4.62,0.328451882845188,9,5,6
BL_DAR_22,BL_1,4,Darmstadt 98,Bundesliga,32,34,28,404,110,0.07,0.25,11.88,3.24,0.272277227722772,12,3,3
